s_kv,group,label,speedup,ci_low,ci_high,constant_fields,baseline_mean_us,specialized_mean_us
512,control_flow,Control logic,1.012399222033175,1.0089110299155066,1.0159128576422665,6,107.77176000000001,106.45184
768,control_flow,Control logic,1.0269810998416404,1.0222654912760796,1.0311352438789332,6,135.61688,132.05392
1024,control_flow,Control logic,1.0133332939308912,1.011126928448029,1.0155038650765735,6,164.59216,162.42648
1280,control_flow,Control logic,1.0071365867999533,1.0051088432932416,1.0089650901479483,6,195.40455999999998,194.01991999999998
512,address_calculation,Per-core tile dimensions/addressing,1.048758442868754,1.0399443914063582,1.0563986202698847,14,107.77176000000001,102.76127999999999
768,address_calculation,Per-core tile dimensions/addressing,1.0546797376756258,1.0466321603920512,1.061534481778373,14,135.61688,128.58584000000002
1024,address_calculation,Per-core tile dimensions/addressing,1.0397751249684768,1.0338933083095059,1.0451987692215159,14,164.59216,158.29592
1280,address_calculation,Per-core tile dimensions/addressing,1.008217867391383,1.0067508068287734,1.0097124666513988,14,195.40455999999998,193.81184000000002
512,mm_schedule,Core-loop scheduling/memory resources,1.0621791930211326,1.0560363383289875,1.0688689390172366,14,107.77176000000001,101.46288
768,mm_schedule,Core-loop scheduling/memory resources,1.076370916331626,1.0727991136707387,1.0799353575736481,14,135.61688,125.99455999999998
1024,mm_schedule,Core-loop scheduling/memory resources,1.0734986347786297,1.070787148476324,1.076268259574655,14,164.59216,153.32312
1280,mm_schedule,Core-loop scheduling/memory resources,1.0643947036432604,1.0625468465666885,1.0662291112954412,14,195.40455999999998,183.58280000000002
512,three_group_joint,Three groups jointly,1.099032922726923,1.092422051846667,1.105183583741425,34,108.59896,98.81320000000001
768,three_group_joint,Three groups jointly,1.1022994119781446,1.0970409399872292,1.1073071101382184,34,133.42576,121.04312
1024,three_group_joint,Three groups jointly,1.1006475158170979,1.0962101390325478,1.1051497973801956,34,162.66408,147.78943999999998
1280,three_group_joint,Three groups jointly,1.1140308065979698,1.1115949539573842,1.1166592611258126,34,195.94063999999997,175.8844
512,tilinginfer,TilingInfer,1.1339009992624351,1.1217129869040836,1.144444866966185,352,108.59896,95.77464
768,tilinginfer,TilingInfer,1.1504775543258572,1.1451203710782056,1.1562999179398388,352,133.42576,115.97424
1024,tilinginfer,TilingInfer,1.1377433713737353,1.1331370081078445,1.1428765552703821,352,162.66408,142.9708
1280,tilinginfer,TilingInfer,1.1281896559268858,1.1219981338775284,1.1336119260616508,352,195.94063999999997,173.67704
